url,name,price,rating,number_of_rating,description,asin,product_description,manufacturer
https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-89,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag,449,4.2,"(7,268)","Strong stitching at major stress points provide long-lasting durability against daily activities. Main compartment with zip closure
Durable zippers and enhanced by strong stitching at major stress points
Lightweight and fold-able, It's easy to fold up into small compact space.
Water-resistant finish to save inner items from water splashes .
Optimum quality of accessories and zipper for smoother functioning and high durability
",B07222KX3S,,Nivia
https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHL52MK/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-90,"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments","1,199",4.0,"(2,482)","MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 2 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets, 4 lash points for yoga mat/help and 1 chest belt pocket to keep valuables; Age Range Description: Adult; Color Name: Mblue; Compartment Description: Greater Than 17 Inches; Pattern Name: Solid; Style Name: Casual Backpack; Pocket Description: Zipper Pocket.
PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 17.3"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser of this backpack for men is neatly organise and store your keys, cables, stationary and other valuables from theft. This laptop bag cum backpack can be used for office, college, school or even for hiking or trekking.
INBUILT RAIN COVER – The Laptop bag for men has inbuilt raincover pocket at the bottom with Rain cover provided to help you protect your stuff from rain and dust. The Raincover is made of premium imported polyester fabric that can withstand heavy rains.
BEST BACK SUPPORT - We have designed the laptop bag keeping your comfort in mind. In this backpack for men there are 2 load lifters on the backside to adjust your shoulder position based on weight. 2 Side load compression straps help to adjust the size of bag. Shoulder has 12MM high density padding, with adjustable sternum straps for chest support and adjustable padded hip belt for weight balancing on chest and hips.
WATER RESISTANT WITH 1 YEAR WARRANTY – This Laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner also suitable for Hiking or trekking. Size: 21 inch X 14 inch X 10.5 inch. Capacity : 50 litres. This Bag/Backpack is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.
",B08NHL52MK,,Lunar's
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjcxMDIwNzc1ODM4MzYzOjE2NzkzODg2ODU6c3BfbXRmOjIwMTE3Nzk1ODc2OTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_91_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679388685%26sprefix%3Dba%252Caps%252C283%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",4.3,(152),"CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>
PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>
MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>
HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>
Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>
",B08T1769X9,,MOKOBARA
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjcxMDIwNzc1ODM4MzYzOjE2NzkzODg2ODU6c3BfbXRmOjIwMTAwODU1MDk4NTk4OjowOjo&url=%2FFur-Jaden-resistant-Backpack-BM100_Brown%2Fdp%2FB07P5X6NSN%2Fref%3Dsr_1_92_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679388685%26sprefix%3Dba%252Caps%252C283%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,889,4.2,"(2,237)","Style - Brown colour backpack for men made of PU leather for stylish office use as well as for trendy college students. Huge compartment size that can fit upto a 15 inch laptop with ease. Multiple pockets for other accessories and water bottle
USB Charging - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging.
Capacity: 30 liters; Weight: 650 grams; Dimensions: 30 cms x 20 cms x 44 cms (LxWxH)
Material - We use highest quality of artificial leather which is durable, long lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life
Warranty- 100% genuine Fur Jaden Bags, 10 days no question asked replacement guarantee from the date of delivery. 6 Month manufacturer warranty against defects only. We do not provide free Power Bank with this Bag.
",B07P5X6NSN,A trendy addition to your accessory collection this season comes in the form of this Backpack,FUR JADEN
https://www.amazon.in/Puma-76855-teamGOAL-Backpack-Core/dp/B07XJPLL27/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-93,Puma Unisex teamGOAL 23 Backpack Core Black X,939,4.3,"(2,620)","Superior Quality
PUMA Branded
",B07XJPLL27,Flaunt the latest & coolest styles from PUMA,Puma
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-94,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"1,895",4.3,"(3,229)","Outer Material: Polyester, Color: Blue
Water Resistance: Water resistant; Dimensions: 36 cms x 13 cms x 50 cms (LxWxH)
Number of compartments: 3
Laptop Compatible: Fits up to 15.4 laptop
Light Weight
Note : Laptop compartment has no strap
",B012D4QWES,The durable Peza workpack is designed for travel enthusiasts. It perfectly organizes your belongings and comes with a specially designed padded back system for enhanced carrying comfort. Laptop Compatible: Fits up to 15.4 laptop ; Quick-access side mesh pocket ; Ventex back system allows ventilation and better airflow.,Wildcraft
https://www.amazon.in/Nivia-String-5177NB-Polyester-Navy/dp/B071H3HLVV/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-95,Nivia Polyester String Bag,193,4.1,(992),"Made in India - with pride
This Nivia backpacks have one main compartment is secured with drawstring rope closure
This backpack is perfect for athletes and students on the go
Material: Polyester
In-Box Contents: 1 String Bag
Country of Origin: India
",B071H3HLVV,,Nivia
https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-96,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299,4.4,(281),"Convenient – Our wet bags are great for carrying diapers, dirty gym clothes and wet swimsuits; not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more
Reuse And Reduce Waste – The better alternative to single-use plastic bags, our bags are made of Chic Buddys' original waterproof fabric that’s both soft and strong (although fabric is waterproof, bags are not completely leakproof due to zippered closure)
Waterproof – Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag
Lots Of Uses – Not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more! With a snap handle, snap your bag wherever you need it - stroller, changing table or suitcase
Easy-To-Clean – Wipe small messes; hand-wash or machine wash; to extend the life of fabric, we do recommend hang drying our quick-dry fabric; always ensure fabric is completely dry before storing
",B09KSBHC18,,Chic Buddy
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-97,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",512,4.0,(435),"PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .
Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling
COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .
Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;
MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.
strap_type: Shoulder Strap
",B09WZHX3B1,,
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1679388685&sprefix=ba%2Caps%2C283&sr=8-98,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,3.8,(645),"Lightweight yet durable backpack/daypack for school use or everyday outings
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester
",B09B277CR5,"Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.",Safari
